Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.372s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
118.00	1.99	2.00	0.00	1.99	0.00	0.00
119.00	2.00	2.00	0.00	2.00	0.00	0.00
120.00	2.00	2.00	0.00	2.00	0.00	0.00
121.00	2.00	2.00	0.00	2.00	0.00	0.00
122.00	2.00	2.00	0.00	2.00	0.00	0.00
123.00	2.00	1.99	0.00	2.00	0.00	0.00
124.00	1.99	2.00	0.00	1.99	0.00	0.00
125.00	2.00	2.00	0.00	2.00	0.00	0.00
126.00	2.00	2.00	0.00	2.00	0.00	0.00
127.00	2.00	2.00	0.00	2.00	0.00	0.00
128.00	2.00	2.00	0.00	2.00	0.00	0.00
129.00	2.00	2.00	0.00	2.00	0.00	0.00
130.00	1.99	1.99	0.00	1.99	0.00	0.00
131.00	2.00	2.00	0.00	2.00	0.00	0.00
132.00	2.00	2.00	0.00	2.00	0.00	0.00
133.00	2.00	2.00	0.00	2.00	0.00	0.00
134.00	2.00	2.00	0.00	2.00	0.00	0.00
135.00	2.00	1.99	0.00	2.00	0.00	0.00
136.00	1.99	2.00	0.00	1.99	0.00	0.00
137.00	2.00	2.00	0.00	2.00	0.00	0.00
138.00	2.00	2.00	0.00	2.00	0.00	0.00
139.00	2.00	2.00	0.00	2.00	0.00	0.00
140.00	2.00	2.00	0.00	2.00	0.00	0.00
141.00	2.00	2.00	0.00	2.00	0.00	0.00
142.00	1.99	1.99	0.00	2.00	0.00	0.00
143.00	2.00	2.00	0.00	1.99	0.00	0.00
144.00	2.00	2.00	0.00	2.00	0.00	0.00
145.00	2.00	2.00	0.00	2.00	0.00	0.00
146.00	2.00	2.00	0.00	2.00	0.00	0.00
147.00	2.00	1.99	0.00	2.00	0.00	0.00
148.00	1.99	2.00	0.00	2.00	0.00	0.00
149.00	1.99	2.00	0.00	1.99	0.00	0.00
150.00	2.00	2.00	0.00	2.00	0.00	0.00
151.00	2.00	2.00	0.00	2.00	0.00	0.00
152.00	2.00	2.00	0.00	2.00	0.00	0.00
153.00	2.00	1.99	0.00	2.00	0.00	0.00
154.00	2.00	2.00	0.00	2.00	0.00	0.00
155.00	1.99	2.00	0.00	1.99	0.00	0.00
156.00	2.00	2.00	0.00	2.00	0.00	0.00
157.00	2.00	2.00	0.00	2.00	0.00	0.00
158.00	1.99	2.00	0.00	2.00	0.00	0.00
159.00	2.00	1.99	0.00	2.00	0.00	0.00
160.00	2.00	2.00	0.00	2.00	0.00	0.00
161.00	1.99	2.00	0.00	1.99	0.00	0.00
162.00	2.00	2.00	0.00	2.00	0.00	0.00
163.00	2.00	2.00	0.00	2.00	0.00	0.00
164.00	2.00	2.00	0.00	2.00	0.00	0.00
165.00	2.00	2.00	0.00	2.00	0.00	0.00
166.00	2.00	1.99	0.00	2.00	0.00	0.00
167.00	1.99	2.00	0.00	1.99	0.00	0.00
168.00	2.00	2.00	0.00	2.00	0.00	0.00
169.00	2.00	2.00	0.00	2.00	0.00	0.00
170.00	2.00	2.00	0.00	2.00	0.00	0.00
171.00	2.00	2.00	0.00	2.00	0.00	0.00
172.00	2.00	1.99	0.00	2.00	0.00	0.00
173.00	1.99	2.00	0.00	1.99	0.00	0.00
174.00	2.00	2.00	0.00	2.00	0.00	0.00
175.00	2.00	2.00	0.00	2.00	0.00	0.00
176.00	2.00	2.00	0.00	2.00	0.00	0.00
177.00	2.00	2.00	0.00	2.00	0.00	0.00
178.00	2.00	1.99	0.00	2.00	0.00	0.00
179.00	1.99	2.00	0.00	1.99	0.00	0.00
10.1.1.1	2.03	300.60
10.1.1.2	2.03	1241.34
10.1.1.3	0.28	8674.69
10.2.1.2	2.04	7.94
10.1.1.5	1.27	1331.11
10.1.1.6	1.26	3469.22
