Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.380s)
CreateVariables () DONE !!!
Creating 32 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31
100.00	1.83	0.45	0.00	0.00	0.00	0.00	0.00	0.00	2.01	1.72	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.19	0.00	0.00	0.00	0.00	0.00	0.00	1.78	1.77	0.00	0.00	0.00	0.00	0.00	0.00
101.00	0.42	0.01	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.20	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.46	0.00	0.00	0.00	0.00	0.00	0.00
102.00	2.23	0.08	0.00	0.00	0.00	0.00	0.00	0.00	1.92	0.61	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.45	0.00	0.00	0.00	0.00	0.00	0.00
103.00	0.89	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.95	1.47	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.16	0.00	0.00	0.00	0.00	0.00	0.00	1.53	1.52	0.00	0.00	0.00	0.00	0.00	0.00
104.00	1.44	1.18	0.00	0.00	0.00	0.00	0.00	0.00	1.95	0.53	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	1.72	1.81	0.00	0.00	0.00	0.00	0.00	0.00
105.00	0.16	2.01	0.00	0.00	0.00	0.00	0.00	0.00	1.95	2.17	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.28	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.52	0.00	0.00	0.00	0.00	0.00	0.00
106.00	0.61	1.15	0.00	0.00	0.00	0.00	0.00	0.00	1.47	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.40	0.00	0.00	0.00	0.00	0.00	0.00	1.39	1.45	0.00	0.00	0.00	0.00	0.00	0.00
107.00	1.18	1.06	0.00	0.00	0.00	0.00	0.00	0.00	1.21	1.39	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.68	0.73	0.00	0.00	0.00	0.00	0.00	1.08	1.10	0.00	0.00	0.00	0.00	0.00	0.00
108.00	0.93	0.31	0.00	0.00	0.00	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.97	0.98	0.00	0.00	0.00	0.00	0.00	0.00
109.00	1.11	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.85	1.73	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.34	0.15	0.00	0.00	0.00	0.00	0.00	1.54	1.33	0.00	0.00	0.00	0.00	0.00	0.00
110.00	0.75	0.87	0.00	0.00	0.00	0.00	0.00	0.00	1.52	0.89	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.85	0.00	0.00	0.00	0.00	0.00	0.00	1.34	1.44	0.00	0.00	0.00	0.00	0.00	0.00
111.00	1.02	0.32	0.00	0.00	0.00	0.00	0.00	0.00	1.04	0.60	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.71	0.00	0.00	0.00	0.00	0.00	0.00	1.94	1.94	0.00	0.00	0.00	0.00	0.00	0.00
112.00	0.72	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.74	1.07	0.00	0.00	0.00	0.00	0.01	0.00	1.99	1.27	0.77	0.00	0.00	0.00	0.00	0.00	1.54	1.73	0.00	0.00	0.00	0.00	0.00	0.00
113.00	1.13	0.45	0.00	0.00	0.00	0.00	0.00	0.00	1.35	1.50	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.74	0.00	0.00	0.31	0.00	0.00	0.00	0.82	1.91	0.00	0.00	0.00	0.00	0.00	0.00
114.00	0.87	0.78	0.01	0.00	0.00	0.00	0.00	0.00	1.67	1.28	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.77	0.61	0.00	0.00	0.00	0.00	0.00	0.26	1.26	0.00	0.00	0.00	0.00	0.00	0.00
115.00	0.32	0.12	0.65	0.00	0.00	0.00	0.00	0.00	0.72	0.73	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.22	0.13	0.00	0.31	0.00	0.00	0.00	0.91	1.01	0.00	0.00	0.00	0.00	0.00	0.00
116.00	0.19	0.51	0.00	0.00	0.00	0.00	0.00	0.00	2.28	1.27	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.35	0.95	0.00	0.00	0.00	0.00	0.00	1.33	1.22	0.00	0.00	0.00	0.00	0.00	0.00
117.00	2.06	0.29	0.00	0.00	0.00	0.00	0.00	0.00	1.71	1.05	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.98	0.00	0.00	0.00	0.00	0.00	0.00	2.07	2.05	0.00	0.00	0.00	0.00	0.00	0.00
118.00	0.48	0.53	0.00	0.00	0.00	0.00	0.00	0.00	1.22	0.88	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.78	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.38	0.00	0.00	0.00	0.00	0.00	0.00
119.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.71	0.53	0.00	0.00	0.00	0.00	0.00	0.00	2.00	3.33	0.00	0.00	0.00	0.00	0.00	0.00	1.30	1.28	0.00	0.00	0.00	0.00	0.00	0.00
120.00	1.02	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.82	1.10	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.68	1.95	0.00	0.00	0.00	0.00	0.00	0.48	0.52	0.00	0.00	0.00	0.00	0.00	0.00
121.00	0.28	1.59	0.65	0.00	0.00	0.00	0.00	0.00	1.54	1.64	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
122.00	0.16	0.52	0.31	0.00	0.00	0.00	0.00	0.00	1.54	1.57	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.98	0.00	0.00	0.00	0.00	0.00	0.00	1.57	1.63	0.00	0.00	0.00	0.00	0.00	0.00
123.00	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.07	0.91	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.81	0.78	0.00	0.00	0.00	0.00	0.00	0.00
124.00	1.41	0.19	0.40	0.00	0.00	0.00	0.00	0.00	2.08	2.18	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.79	1.75	0.00	0.00	0.00	0.00	0.00	1.42	1.64	0.00	0.00	0.00	0.00	0.00	0.00
125.00	0.64	0.31	0.00	0.00	0.00	0.00	0.00	0.00	1.30	1.67	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.48	0.55	0.00	0.00	0.00	0.00	0.00	0.00
126.00	0.34	1.13	1.06	0.00	0.00	0.00	0.00	0.00	1.42	0.28	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.98	0.00	0.00	0.00	0.00	0.00	1.17	1.60	0.00	0.00	0.00	0.00	0.00	0.00
127.00	1.38	0.55	0.00	0.00	0.00	0.00	0.00	0.00	1.42	1.40	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.42	0.91	0.00	0.00	0.00	0.00	0.00	0.91	1.19	0.00	0.00	0.00	0.00	0.00	0.00
128.00	0.32	0.15	0.16	0.00	0.00	0.00	0.00	0.00	0.48	0.44	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.33	0.28	0.00	0.00	0.00	0.00	0.00	2.10	2.05	0.00	0.00	0.00	0.00	0.00	0.00
129.00	1.97	0.80	0.00	0.00	0.00	0.00	0.00	0.00	2.21	2.17	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.98	0.00	0.00	0.00	0.00	0.00	0.00
130.00	0.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.26	0.66	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.66	1.00	0.00	0.00	0.00	0.00	0.00	0.00
131.00	0.42	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.52	1.71	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.28	1.01	0.00	0.00	0.00	0.00	0.00	0.77	0.82	0.00	0.00	0.00	0.00	0.00	0.00
132.00	0.91	0.38	0.58	0.00	0.00	0.00	0.00	0.00	1.58	1.31	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	1.60	1.60	0.00	0.00	0.00	0.00	0.00	0.00
133.00	1.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.61	1.81	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.08	1.98	0.00	0.00	0.00	0.00	0.00	0.82	1.01	0.00	0.00	0.00	0.00	0.00	0.00
134.00	0.05	0.24	0.00	0.00	0.00	0.00	0.00	0.00	1.87	0.93	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	1.01	1.04	0.00	0.00	0.00	0.00	0.00	0.00
135.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.37	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.87	0.00	0.00	0.00	0.00	0.00	0.00	1.57	1.63	0.00	0.00	0.00	0.00	0.00	0.00
136.00	1.51	1.05	0.09	0.00	0.00	0.00	0.00	0.00	1.95	1.02	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.65	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.08	0.00	0.00	0.00	0.00	0.00	0.00
137.00	0.29	0.86	0.40	0.00	0.00	0.00	0.00	0.00	0.79	1.68	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.71	0.41	0.00	0.00	0.00	0.00	0.00	1.18	2.00	0.00	0.00	0.00	0.00	0.00	0.00
138.00	2.40	0.47	0.19	0.00	0.00	0.00	0.00	0.00	2.03	1.50	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.52	0.61	0.00	0.01	0.00	0.00	0.00	1.15	1.17	0.00	0.00	0.00	0.00	0.00	0.00
139.00	1.14	0.02	0.00	0.00	0.00	0.00	0.00	0.00	1.26	1.22	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.44	0.58	0.00	0.00	0.00	0.00	0.00	0.72	0.74	0.00	0.00	0.00	0.00	0.00	0.00
140.00	0.26	0.14	0.00	0.00	0.00	0.00	0.00	0.00	1.01	1.04	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
141.00	0.99	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.85	1.67	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.02	0.00	0.00	0.00	0.00	0.00	0.00	2.21	2.12	0.00	0.00	0.00	0.00	0.00	0.00
142.00	0.53	0.64	0.00	0.00	0.00	0.00	0.00	0.00	1.05	0.46	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.07	0.00	0.00	0.00	0.00	0.00	0.00	1.60	1.60	0.00	0.00	0.00	0.00	0.00	0.00
143.00	0.08	0.73	0.65	0.00	0.00	0.00	0.00	0.00	1.28	0.88	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.07	1.18	0.00	0.00	0.00	0.00	0.00	0.00
144.00	0.15	0.59	0.08	0.00	0.00	0.00	0.00	0.00	1.42	1.38	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.61	0.00	0.00	0.00	0.00	0.00	0.00
145.00	0.18	0.28	0.00	0.00	0.00	0.00	0.00	0.00	1.55	1.81	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.37	0.31	0.00	0.00	0.00	0.00	0.00	1.26	1.27	0.00	0.00	0.00	0.00	0.00	0.00
146.00	1.05	0.74	0.37	0.00	0.00	0.00	0.00	0.00	1.64	0.99	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.88	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	0.00	0.00	0.00	0.00	0.00	0.00
147.00	0.74	0.11	0.51	0.00	0.00	0.00	0.00	0.00	1.65	1.11	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.81	0.00	0.00	0.00	0.00	0.00	0.00	1.59	1.59	0.00	0.00	0.00	0.00	0.00	0.00
148.00	1.55	0.58	1.18	0.00	0.00	0.00	0.00	0.00	1.45	1.45	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.14	1.57	0.00	0.00	0.00	0.00	0.00	0.53	1.65	0.00	0.00	0.00	0.00	0.00	0.00
149.00	0.41	0.78	0.55	0.00	0.00	0.00	0.00	0.00	1.44	0.31	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.08	0.00	0.00	0.00	0.00	0.00	0.00
150.00	1.02	0.37	0.38	0.00	0.00	0.00	0.00	0.00	0.93	1.25	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	2.04	1.94	0.00	0.00	0.00	0.00	0.00	0.00
151.00	0.46	0.47	0.31	0.00	0.00	0.00	0.00	0.00	1.11	1.12	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	1.04	1.20	0.00	0.00	0.00	0.00	0.00	0.00
152.00	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.30	1.28	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.08	0.00	0.00	0.00	0.00	0.00	0.00	1.66	1.68	0.00	0.00	0.00	0.00	0.00	0.00
153.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	1.57	1.60	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.98	1.04	0.00	0.00	0.00	0.00	0.00	0.00
154.00	1.99	0.35	0.00	0.00	0.00	0.00	0.00	0.00	1.50	1.13	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	1.39	1.24	0.00	0.00	0.00	0.00	0.00	0.00
155.00	1.31	0.82	0.00	0.00	0.00	0.00	0.00	0.00	1.30	0.80	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.64	0.00	0.00	0.00	0.00	0.00	0.00
156.00	1.22	0.16	0.00	0.00	0.00	0.00	0.00	0.00	1.70	0.04	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.08	0.00	0.00	0.15	0.00	0.00	0.00	1.47	1.47	0.00	0.00	0.00	0.00	0.00	0.00
157.00	0.85	0.34	0.00	0.00	0.00	0.00	0.00	0.00	1.35	1.04	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.60	0.60	0.00	0.00	0.00	0.00	0.00	0.27	0.28	0.00	0.00	0.00	0.00	0.00	0.00
158.00	0.06	0.48	0.38	0.00	0.00	0.00	0.00	0.00	1.40	1.21	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.98	0.15	0.00	0.32	0.00	0.00	0.00	1.71	1.71	0.00	0.00	0.00	0.00	0.00	0.00
159.00	0.85	0.21	0.00	0.00	0.00	0.00	0.00	0.00	1.52	1.50	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.42	0.00	0.00	0.31	0.00	0.00	0.00	0.55	0.67	0.00	0.00	0.00	0.00	0.00	0.00
160.00	0.72	0.99	1.32	0.00	0.00	0.00	0.00	0.00	1.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.52	0.00	0.00	0.00	0.00	0.00	0.00	1.83	1.75	0.00	0.00	0.00	0.00	0.00	0.00
161.00	0.47	0.95	0.77	0.00	0.00	0.00	0.00	0.00	1.24	0.29	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00
162.00	0.48	0.13	0.31	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.37	0.00	0.00	0.00	0.00	0.00	0.00
163.00	0.64	0.88	0.42	0.00	0.00	0.00	0.00	0.00	1.00	1.28	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.47	0.00	0.00	0.00	0.00	0.00	0.00
164.00	0.66	1.21	0.00	0.00	0.00	0.00	0.00	0.00	1.28	1.51	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.08	0.00	0.00	0.24	0.00	0.00	0.00	0.74	0.74	0.00	0.00	0.00	0.00	0.00	0.00
165.00	0.72	0.60	0.40	0.00	0.00	0.00	0.00	0.00	1.59	0.87	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.86	0.00	0.00	0.26	0.00	0.00	0.00	1.02	1.04	0.00	0.00	0.00	0.00	0.00	0.00
166.00	0.65	0.62	0.68	0.00	0.00	0.00	0.00	0.00	1.42	1.63	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.81	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.15	0.00	0.00	0.00	0.00	0.00	0.00
167.00	1.53	1.35	0.00	0.00	0.00	0.00	0.00	0.00	1.83	1.32	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.84	0.00	0.00	0.00	0.00	0.00	0.00	1.35	1.34	0.00	0.00	0.00	0.00	0.00	0.00
168.00	0.92	1.08	1.97	0.00	0.00	0.00	0.00	0.00	1.53	1.12	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.35	0.00	0.00	0.31	0.00	0.00	0.00	0.54	1.28	0.00	0.00	0.00	0.00	0.00	0.00
169.00	0.69	0.72	0.31	0.00	0.00	0.00	0.00	0.00	0.97	2.12	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.63	0.61	0.00	0.00	0.00	0.00	0.00	0.52	1.13	0.00	0.00	0.00	0.00	0.00	0.00
170.00	0.59	0.34	0.00	0.00	0.00	0.00	0.00	0.00	1.66	1.12	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.93	0.00	0.00	0.00	0.00	0.00	0.00	1.17	1.15	0.00	0.00	0.00	0.00	0.00	0.00
171.00	1.11	0.58	1.34	0.00	0.00	0.00	0.00	0.00	1.37	1.40	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.71	0.00	0.00	0.00	0.00	0.00	0.00
172.00	1.21	1.40	0.14	0.00	0.00	0.00	0.00	0.00	1.92	1.40	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.86	0.00	0.00	0.54	0.00	0.00	0.00	1.90	1.54	0.00	0.00	0.00	0.00	0.00	0.00
173.00	1.85	0.53	0.94	0.00	0.00	0.00	0.00	0.00	2.04	1.78	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.85	0.40	0.00	0.00	0.00	0.00	0.00	1.75	1.75	0.00	0.00	0.00	0.00	0.00	0.00
174.00	0.95	1.01	0.65	0.00	0.00	0.00	0.00	0.00	0.97	0.79	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	1.72	1.71	0.00	0.00	0.00	0.00	0.00	0.00
175.00	1.34	1.08	0.73	0.00	0.00	0.00	0.00	0.00	2.45	0.99	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.31	0.00	0.00	0.00	1.67	1.73	0.00	0.00	0.00	0.00	0.00	0.00
176.00	0.49	0.87	0.85	0.00	0.00	0.00	0.00	0.00	1.63	0.61	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.20	0.00	0.00	0.62	0.00	0.00	0.00	0.91	1.44	0.00	0.00	0.00	0.00	0.00	0.00
177.00	1.81	0.19	0.00	0.00	0.00	0.00	0.00	0.00	1.08	1.22	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94	0.00	0.00	0.00	0.00	0.00	0.00
178.00	1.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	1.18	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.71	1.02	0.00	0.00	0.00	0.00	0.00	2.04	2.20	0.00	0.00	0.00	0.00	0.00	0.00
179.00	0.29	0.02	0.00	0.00	0.00	0.00	0.00	0.00	1.47	1.15	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.84	0.41	0.00	0.00	0.00	0.00	0.00	1.25	1.20	0.00	0.00	0.00	0.00	0.00	0.00
10.1.1.1	0.57	135186.71
10.1.1.2	0.38	177851.31
10.1.1.3	0.11	461516.10
10.1.1.4	0	0
10.1.1.5	0	0
10.1.1.6	0	0
10.1.1.7	0	0
10.1.1.8	0	0
10.1.1.9	1.72	20426.93
10.1.1.10	1.56	62358.45
10.1.1.11	0	0
10.1.1.12	0	0
10.1.1.13	0	0
10.1.1.14	0	0
10.1.1.15	0	113815.00
10.1.1.16	0	0
10.2.1.2	2.04	8.10
10.1.1.18	1.65	62850.02
10.1.1.19	0.11	507257.45
10.1.1.20	0	0
10.1.1.21	0.02	604897.73
10.1.1.22	0	0
10.1.1.23	0	0
10.1.1.24	0	0
10.1.1.25	0.60	116675.47
10.1.1.26	0.69	82263.96
10.1.1.27	0	0
10.1.1.28	0	0
10.1.1.29	0	0
10.1.1.30	0	0
10.1.1.31	0	0
10.1.1.32	0	0
