Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.969s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
19.00	1.99	1.99	1.98	2.00	2.00	0.00	1.99	2.00
20.00	2.00	1.98	1.98	1.99	1.99	0.00	2.00	1.99
21.00	2.00	1.98	1.97	2.00	2.00	0.00	2.00	2.00
22.00	2.00	1.98	1.99	2.00	2.00	0.00	2.00	2.00
23.00	1.99	1.97	1.98	2.00	2.00	0.00	2.00	2.00
24.00	2.00	1.95	1.99	2.00	2.00	0.00	2.00	2.00
25.00	2.00	1.98	2.00	2.00	2.00	0.00	1.99	1.99
26.00	1.99	1.97	1.94	1.99	1.99	0.00	2.00	2.00
27.00	2.00	1.98	2.00	2.00	2.00	0.00	2.00	2.00
28.00	2.00	1.99	1.98	2.00	2.00	0.00	2.00	2.00
29.00	1.99	1.98	1.99	2.00	2.00	0.00	2.00	1.99
30.00	1.99	1.98	1.97	2.00	2.00	0.00	2.00	2.00
31.00	2.00	1.99	1.99	2.00	2.00	0.00	2.00	2.00
32.00	1.98	1.98	1.99	1.99	1.99	0.00	1.99	1.99
33.00	2.00	1.99	1.97	2.00	2.00	0.00	2.00	2.00
34.00	1.99	1.98	2.00	2.00	2.00	0.00	2.00	2.00
35.00	2.00	1.95	1.97	2.00	2.00	0.00	2.00	2.00
36.00	2.00	2.00	1.99	2.00	2.00	0.00	2.00	1.99
37.00	2.00	1.97	1.98	2.00	2.00	0.00	1.99	2.00
38.00	2.00	1.98	1.98	1.99	1.99	0.00	2.00	1.99
39.00	2.00	2.00	1.94	2.00	2.00	0.00	2.00	2.00
40.00	2.00	2.00	1.95	2.00	2.00	0.00	2.00	2.00
41.00	2.00	1.98	1.99	2.00	2.00	0.00	2.00	2.00
42.00	1.99	1.95	1.99	2.00	2.00	0.00	2.00	1.99
43.00	1.99	1.97	1.98	2.00	2.00	0.00	2.00	2.00
44.00	2.00	1.99	1.94	1.99	1.99	0.00	1.99	2.00
45.00	2.00	1.98	1.97	2.00	2.00	0.00	2.00	2.00
46.00	2.00	1.97	1.97	2.00	2.00	0.00	2.00	2.00
47.00	1.99	2.00	1.97	2.00	2.00	0.00	2.00	2.00
48.00	2.00	1.97	1.97	2.00	2.00	0.00	2.00	1.99
49.00	2.00	1.98	1.98	2.00	2.00	0.00	2.00	2.00
50.00	1.99	1.98	2.00	1.99	2.00	0.00	1.99	2.00
51.00	2.00	1.93	1.99	2.00	1.99	0.00	2.00	2.00
52.00	2.00	1.99	1.98	2.00	2.00	0.00	2.00	2.00
53.00	1.99	2.00	1.98	2.00	2.00	0.00	2.00	2.00
54.00	1.99	1.95	1.97	2.00	2.00	0.00	2.00	2.00
55.00	2.00	1.99	1.97	2.00	2.00	0.00	1.99	1.99
56.00	1.98	1.98	1.95	2.00	2.00	0.00	2.00	2.00
57.00	2.00	1.99	2.00	1.99	1.99	0.00	2.00	2.00
58.00	2.00	1.97	1.99	2.00	2.00	0.00	2.00	2.00
59.00	2.00	1.98	1.98	2.00	2.00	0.00	2.00	1.99
60.00	1.99	1.95	1.97	2.00	2.00	0.00	2.00	2.00
61.00	2.00	1.95	1.98	2.00	2.00	0.00	2.00	1.99
62.00	2.00	1.98	1.97	2.00	2.00	0.00	1.99	2.00
63.00	2.00	1.98	1.95	1.99	1.99	0.00	2.00	2.00
64.00	2.00	1.99	1.99	2.00	2.00	0.00	2.00	2.00
65.00	2.00	1.95	1.97	2.00	2.00	0.00	2.00	2.00
66.00	1.99	1.98	1.98	2.00	2.00	0.00	2.00	1.99
67.00	2.00	1.98	1.98	2.00	2.00	0.00	2.00	2.00
68.00	2.00	1.99	1.99	2.00	2.00	0.00	1.99	1.99
69.00	2.00	1.99	1.99	1.99	1.99	0.00	2.00	2.00
70.00	2.00	1.98	1.98	2.00	2.00	0.00	2.00	2.00
71.00	2.00	1.99	1.98	2.00	2.00	0.00	2.00	2.00
72.00	1.99	1.98	2.00	2.00	2.00	0.00	2.00	1.99
73.00	2.00	1.97	1.99	2.00	2.00	0.00	2.00	2.00
74.00	2.00	2.00	1.98	2.00	2.00	0.00	1.99	2.00
75.00	2.00	1.98	1.94	1.99	1.99	0.00	2.00	2.00
76.00	2.00	1.99	1.97	2.00	2.00	0.00	2.00	2.00
77.00	1.98	2.00	1.98	2.00	2.00	0.00	2.00	2.00
78.00	2.00	1.99	1.95	2.00	2.00	0.00	2.00	1.99
79.00	1.99	1.97	1.95	2.00	2.00	0.00	2.00	2.00
80.00	1.99	2.00	1.97	2.00	2.00	0.00	2.00	2.00
81.00	2.00	1.98	1.99	1.99	1.99	0.00	1.99	2.00
82.00	1.99	1.99	1.97	2.00	2.00	0.00	2.00	2.00
83.00	1.98	1.95	1.99	2.00	2.00	0.00	2.00	2.00
84.00	1.99	1.99	1.97	2.00	2.00	0.00	2.00	2.00
85.00	2.00	1.95	1.93	2.00	2.00	0.00	2.00	1.99
86.00	1.98	1.99	2.00	2.00	2.00	0.00	1.99	2.00
87.00	2.00	1.97	1.97	1.99	1.99	0.00	2.00	2.00
88.00	2.00	1.98	1.98	2.00	2.00	0.00	2.00	2.00
89.00	1.99	1.99	1.99	2.00	2.00	0.00	2.00	1.99
90.00	2.00	1.99	2.00	2.00	2.00	0.00	2.00	2.00
91.00	1.99	1.98	1.98	2.00	2.00	0.00	2.00	1.99
92.00	1.99	1.98	1.97	2.00	2.00	0.00	2.00	2.00
93.00	2.00	1.98	1.95	1.99	1.99	0.00	1.99	2.00
94.00	2.00	2.00	1.98	2.00	2.00	0.00	2.00	2.00
95.00	1.98	1.94	1.99	2.00	2.00	0.00	2.00	2.00
96.00	2.00	1.97	1.99	2.00	2.00	0.00	2.00	2.00
97.00	1.98	1.99	1.97	2.00	2.00	0.00	2.00	1.99
98.00	2.00	2.00	1.97	2.00	2.00	0.00	2.00	1.99
99.00	2.00	2.00	1.99	1.99	2.00	0.00	1.99	2.00
100.00	1.99	1.97	1.99	2.00	1.99	0.00	2.00	2.00
101.00	1.98	1.97	1.95	2.00	2.00	0.00	2.00	2.00
102.00	2.00	1.95	1.98	2.00	2.00	0.00	2.00	1.99
103.00	1.99	1.97	1.97	2.00	2.00	0.00	2.00	2.00
104.00	1.95	1.97	1.98	2.00	2.00	0.00	2.00	1.98
105.00	2.00	1.98	1.98	2.00	2.00	0.00	1.99	2.00
106.00	1.99	2.00	2.00	1.99	1.99	1.48	1.94	2.00
107.00	2.00	1.98	2.00	2.00	2.00	2.00	1.93	2.00
108.00	1.99	1.97	1.98	2.00	2.00	1.99	1.93	2.00
109.00	2.00	1.98	2.00	2.00	2.00	2.00	1.92	1.99
110.00	1.99	1.95	1.97	2.00	2.00	2.00	1.94	2.00
111.00	2.00	1.99	1.98	2.00	2.00	1.99	1.92	2.00
112.00	1.99	1.97	2.00	1.99	1.99	2.00	1.91	1.99
113.00	1.99	1.97	1.99	2.00	2.00	2.00	1.97	1.99
114.00	1.99	1.98	2.00	2.00	2.00	2.00	1.93	2.00
115.00	2.00	1.95	1.99	2.00	2.00	1.99	1.93	1.99
116.00	1.98	1.97	1.98	2.00	2.00	2.00	1.91	2.00
117.00	2.00	1.93	2.00	2.00	2.00	1.99	1.93	2.00
118.00	2.00	1.97	2.00	1.99	1.99	1.99	1.93	2.00
119.00	2.00	1.97	1.98	2.00	2.00	2.00	1.94	2.00
120.00	1.99	1.93	1.99	2.00	2.00	2.00	1.94	2.00
121.00	2.01	1.97	2.00	2.00	2.00	1.99	1.94	1.99
122.00	1.98	1.95	1.97	2.00	2.00	1.99	1.93	2.00
123.00	2.00	1.97	2.00	2.00	2.00	2.00	1.92	2.00
124.00	2.00	1.93	1.98	1.99	1.99	2.00	1.92	2.00
125.00	1.99	1.94	1.98	2.00	2.00	2.00	1.93	2.00
126.00	2.00	1.93	1.99	2.00	2.00	2.00	1.95	2.00
127.00	1.99	1.97	1.98	2.00	2.00	2.00	1.94	1.99
128.00	1.99	1.97	1.98	2.00	2.00	2.00	1.97	2.00
129.00	2.00	1.95	1.98	2.00	2.00	2.00	1.92	2.00
130.00	1.99	1.97	1.99	1.99	1.99	1.98	1.93	1.99
131.00	1.98	1.93	1.99	1.99	2.00	2.00	1.95	2.00
132.00	2.00	1.94	2.00	2.00	2.00	2.00	1.94	2.00
133.00	1.99	1.94	2.00	2.00	2.00	2.00	1.93	1.98
134.00	1.97	1.91	1.99	2.00	2.00	2.00	1.93	1.98
135.00	2.00	1.98	2.00	2.00	2.00	2.00	1.91	2.00
136.00	2.00	1.99	1.99	1.99	1.99	1.99	1.93	2.00
137.00	2.00	1.98	1.98	2.00	2.00	2.00	1.97	2.00
138.00	2.00	1.92	1.98	2.00	2.00	1.98	1.87	2.00
139.00	1.99	1.95	1.99	2.00	2.00	2.00	1.90	1.99
140.00	1.99	1.91	1.99	2.00	2.00	2.00	1.92	2.00
141.00	2.00	1.97	1.98	2.00	2.00	1.99	1.93	2.00
142.00	2.00	2.00	1.99	1.99	2.00	2.00	1.97	2.00
143.00	2.00	1.95	2.00	2.00	1.99	2.00	1.88	1.99
144.00	2.00	1.91	2.00	2.00	2.00	2.00	1.92	2.00
145.00	1.99	1.92	1.98	2.00	2.00	2.00	1.94	2.00
146.00	1.99	1.92	1.99	2.00	2.00	2.00	1.94	1.99
147.00	2.00	1.94	1.99	2.00	2.00	1.99	1.95	1.99
148.00	2.00	1.93	1.99	2.00	2.00	2.00	1.94	2.00
149.00	2.00	1.95	1.97	1.99	1.99	2.00	1.93	2.00
150.00	2.00	1.95	2.00	2.00	2.00	1.99	1.93	2.00
151.00	1.99	1.95	2.00	2.00	2.00	1.99	1.93	1.99
152.00	2.00	1.91	1.98	2.00	2.00	1.99	1.94	1.99
153.00	2.00	1.97	1.99	2.00	2.00	1.99	1.94	2.00
154.00	2.00	1.91	1.99	2.00	2.00	1.99	1.98	1.99
155.00	1.98	1.97	2.00	1.98	1.99	2.00	1.93	2.00
156.00	2.00	1.98	1.99	2.00	2.00	2.00	1.95	2.00
157.00	1.99	1.93	1.99	2.00	2.00	1.99	1.93	2.00
158.00	1.99	1.97	1.98	2.00	2.00	2.00	1.93	1.99
159.00	2.00	1.94	1.99	2.00	2.00	2.00	1.93	2.00
160.00	2.00	1.92	1.99	2.00	2.00	1.99	1.97	2.00
161.00	2.00	1.99	1.98	1.99	1.99	2.00	1.97	1.99
162.00	2.00	1.97	2.00	2.00	2.00	2.00	1.92	2.00
163.00	1.99	1.94	2.00	2.00	2.00	2.00	1.90	2.00
164.00	1.98	1.93	1.99	2.00	2.00	1.99	1.93	1.99
165.00	2.00	1.95	1.99	2.00	2.00	1.99	1.91	1.99
166.00	2.00	1.98	1.98	2.00	2.00	2.01	1.91	2.00
167.00	2.00	1.90	1.99	1.98	1.99	1.98	1.94	2.00
168.00	2.00	1.95	2.00	2.00	2.00	2.00	1.92	2.00
169.00	2.00	1.94	1.99	2.00	2.00	2.00	1.95	2.00
170.00	1.98	1.98	1.99	1.99	2.00	1.98	1.92	1.99
171.00	2.00	1.97	2.00	2.00	2.00	1.99	1.92	2.00
172.00	2.00	1.94	1.97	2.00	2.00	2.00	1.94	2.00
173.00	1.99	1.93	1.98	1.99	1.99	2.00	1.93	1.99
174.00	2.00	1.93	1.99	2.00	2.00	2.00	1.88	2.00
175.00	2.00	1.95	2.00	2.00	2.00	1.99	1.95	2.00
176.00	1.98	1.97	2.00	2.00	2.00	2.00	1.95	2.00
177.00	2.00	1.93	1.98	2.00	2.00	2.00	1.90	1.99
178.00	2.00	1.98	2.00	2.00	2.00	1.98	1.94	2.00
179.00	1.97	1.97	1.99	1.99	1.99	2.00	1.94	2.00
10.1.1.1	2.01	8338.15
10.1.1.2	1.98	5364.05
10.1.1.3	2.02	3250.76
10.1.1.4	2.03	434.23
10.2.1.2	2.04	7.87
10.1.1.6	0.85	1232.13
10.1.1.7	2.01	1309.10
10.1.1.8	2.04	2318.84
