Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.369s)
CreateVariables () DONE !!!
Creating 4 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3
71.00	2.00	2.00	2.00	2.00
72.00	2.00	2.00	2.00	2.00
73.00	2.00	2.00	2.00	2.00
74.00	1.99	2.00	2.00	1.99
75.00	2.00	1.99	1.99	2.00
76.00	2.00	2.00	2.00	2.00
77.00	2.00	2.00	2.00	2.00
78.00	2.00	2.00	2.00	2.00
79.00	2.00	2.00	2.00	2.00
80.00	1.99	2.00	2.00	1.99
81.00	2.00	1.99	1.99	2.00
82.00	2.00	2.00	2.00	2.00
83.00	2.00	2.00	2.00	2.00
84.00	2.00	2.00	2.00	2.00
85.00	2.00	2.00	2.00	2.00
86.00	1.99	2.00	2.00	1.99
87.00	2.00	1.99	1.99	2.00
88.00	2.00	2.00	2.00	2.00
89.00	2.00	2.00	2.00	2.00
90.00	2.00	2.00	2.00	2.00
91.00	2.00	2.00	2.00	2.00
92.00	1.99	2.00	2.00	2.00
93.00	2.00	1.99	1.99	1.99
94.00	2.00	2.00	2.00	2.00
95.00	2.00	2.00	2.00	2.00
96.00	2.00	2.00	2.00	2.00
97.00	2.00	2.00	2.00	2.00
98.00	2.00	2.00	2.00	1.99
99.00	1.99	1.99	2.00	2.00
100.00	2.00	2.00	1.99	2.00
101.00	2.00	2.00	2.00	2.00
102.00	2.00	2.00	2.00	2.00
103.00	2.00	2.00	2.00	2.00
104.00	2.00	2.00	2.00	1.99
105.00	1.99	1.99	2.00	2.00
106.00	2.00	2.00	1.99	2.00
107.00	2.00	2.00	2.00	2.00
108.00	2.00	2.00	2.00	2.00
109.00	2.00	2.00	2.00	2.00
110.00	2.00	2.00	2.00	1.99
111.00	1.99	2.00	2.00	2.00
112.00	2.00	1.99	1.99	2.00
113.00	2.00	2.00	2.00	2.00
114.00	2.00	2.00	2.00	2.00
115.00	2.00	2.00	2.00	2.00
116.00	1.99	2.00	2.00	2.00
117.00	2.00	2.00	2.00	1.99
118.00	2.00	1.99	1.99	2.00
119.00	0.01	0.02	2.00	2.00
120.00	0.00	0.00	2.00	2.00
121.00	0.00	0.00	2.00	2.00
122.00	0.00	0.00	2.00	2.00
123.00	0.00	0.00	2.00	2.00
124.00	0.00	0.00	1.99	1.99
125.00	0.00	0.00	2.00	2.00
126.00	0.00	0.00	2.00	2.00
127.00	0.00	0.00	2.00	2.00
128.00	0.00	0.00	2.00	2.00
129.00	0.00	0.00	2.00	2.00
130.00	0.00	0.00	1.99	1.99
131.00	0.00	0.00	2.00	2.00
132.00	0.00	0.00	2.00	2.00
133.00	0.00	0.00	2.00	2.00
134.00	0.00	0.00	2.00	2.00
135.00	0.00	0.00	2.00	2.00
136.00	0.00	0.00	1.99	1.99
137.00	0.00	0.00	2.00	2.00
138.00	0.00	0.00	2.00	2.00
139.00	0.00	0.00	2.00	2.00
140.00	0.00	0.00	2.00	2.00
141.00	0.00	0.00	2.00	2.00
142.00	0.00	0.00	2.00	1.99
143.00	0.00	0.00	1.99	2.00
144.00	0.00	0.00	2.00	2.00
145.00	0.00	0.00	2.00	2.00
146.00	0.00	0.00	2.00	2.00
147.00	0.00	0.00	2.00	2.00
148.00	0.00	0.00	2.00	2.00
149.00	0.00	0.00	1.99	1.99
150.00	0.00	0.00	2.00	2.00
151.00	0.00	0.00	2.00	2.00
152.00	0.00	0.00	2.00	2.00
153.00	0.00	0.00	2.00	2.00
154.00	0.00	0.00	2.00	2.00
155.00	0.00	0.00	1.99	1.99
156.00	0.00	0.00	2.00	2.00
157.00	0.00	0.00	2.00	2.00
158.00	0.00	0.00	2.00	2.00
159.00	0.00	0.00	2.00	2.00
160.00	0.00	0.00	2.00	2.00
161.00	0.00	0.00	1.99	1.99
162.00	0.00	0.00	2.00	2.00
163.00	0.00	0.00	2.00	2.00
164.00	0.00	0.00	2.00	2.00
165.00	0.00	0.00	2.00	2.00
166.00	0.00	0.00	2.00	2.00
167.00	0.00	0.00	1.99	1.99
168.00	0.00	0.00	2.00	2.00
169.00	0.00	0.00	2.00	2.00
170.00	0.00	0.00	2.00	2.00
171.00	0.00	0.00	2.00	2.00
172.00	0.00	0.00	2.00	2.00
173.00	0.00	0.00	1.99	1.99
174.00	0.00	0.00	2.00	2.00
175.00	0.00	0.00	2.00	2.00
176.00	0.00	0.00	2.00	2.00
177.00	0.00	0.00	2.00	2.00
178.00	0.00	0.00	2.00	2.00
179.00	0.00	0.00	1.99	1.99
10.1.1.1	1.33	1503.29
10.1.1.2	1.33	255.47
10.2.1.2	2.04	7.84
10.1.1.4	2.04	721.28
