Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.543s)
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
12.00	2.49	2.49	2.49	0.68	0.67	0.00	0.00	2.91	0.69	0.32	0.00	0.91	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	2.50	0.08	0.00	0.00	1.75	0.00	0.06	0.15	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.51
14.00	2.50	2.50	2.50	1.39	0.00	0.00	0.00	0.14	0.69	0.00	0.00	1.45	0.00	0.01	0.00	1.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00
15.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	2.50	2.50	2.50	0.00	1.81	0.00	0.00	0.57	0.04	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	2.50	2.49	2.50	0.71	1.47	0.00	0.00	1.70	0.23	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	1.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	2.49	2.50	2.49	0.16	2.76	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00
19.00	2.50	2.50	2.50	0.00	1.48	0.00	0.00	0.32	0.15	0.47	0.00	0.00	0.00	0.00	0.00	2.04	0.00	1.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	2.50	2.50	2.50	0.21	0.48	0.00	0.00	3.11	0.69	0.00	0.00	0.00	0.00	0.00	0.21	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	2.50	2.50	2.50	1.62	0.00	0.00	0.00	0.39	0.00	0.11	0.00	0.27	0.00	0.00	0.00	2.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	2.50	2.50	2.50	0.30	0.00	0.00	0.00	0.03	0.00	1.72	0.00	1.52	0.00	0.00	0.00	0.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	2.49	2.49	2.49	0.00	0.00	0.00	0.00	0.34	0.66	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.00	2.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49
24.00	2.50	2.50	2.50	0.10	0.50	0.00	0.00	0.06	0.09	0.18	0.09	0.00	0.00	0.00	0.15	3.11	0.00	0.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10
25.00	2.50	2.50	2.50	0.24	0.00	0.00	0.00	1.70	0.00	0.51	0.11	0.00	0.00	0.00	0.49	0.95	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
26.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.29	0.00	0.04	0.42	0.00	0.00	0.00	0.00	1.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.88
27.00	2.50	2.50	2.50	0.00	0.32	0.00	0.00	1.06	0.05	0.00	0.09	0.00	0.00	0.00	0.19	2.46	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00
28.00	2.49	2.49	2.49	1.93	0.06	0.00	0.00	0.00	0.03	0.00	0.72	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00
29.00	2.50	2.50	2.50	0.32	1.20	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00
30.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.98	0.00	1.52	0.00	0.00	0.00	0.00	0.54	1.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.00
31.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.55	0.00	0.00
32.00	2.50	2.50	2.50	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00
33.00	2.50	2.50	2.50	0.21	0.00	0.00	0.00	0.60	0.00	0.81	0.00	0.00	0.00	0.00	0.34	1.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	2.49	2.49	2.49	1.10	0.86	0.00	0.00	0.99	0.00	0.70	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
35.00	2.50	2.50	2.50	0.00	0.09	0.00	0.00	0.41	2.48	1.12	0.00	0.00	0.00	0.00	0.00	0.44	0.00	1.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18
36.00	2.50	2.50	2.50	0.12	0.00	0.00	0.00	0.00	0.19	1.16	0.00	0.00	0.00	0.00	0.28	0.00	0.00	2.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	2.50	2.50	2.50	0.00	0.65	0.00	0.00	0.15	0.61	0.25	0.00	0.44	0.00	0.00	0.28	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
38.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
39.00	2.49	2.49	2.49	0.21	0.00	0.00	0.00	1.27	0.27	1.41	0.00	1.78	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.00
40.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	1.49	0.00	0.00	0.00	2.02	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00
41.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.42	0.85	0.00	0.00	0.42	0.00	0.00	0.75	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00
42.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.14	0.00	0.10	0.00	1.40	0.00	0.00	0.26	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00
43.00	2.50	2.50	2.50	0.72	0.00	0.00	0.00	1.17	0.11	0.00	0.00	1.69	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
44.00	2.50	2.50	2.50	0.07	1.24	0.00	0.00	0.16	0.00	0.08	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.03
45.00	2.49	2.49	2.49	0.00	0.46	0.00	0.00	0.40	0.00	2.07	0.00	0.03	0.00	0.00	0.02	1.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.18
46.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.37	0.00	0.04	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
47.00	2.50	2.50	2.50	1.30	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
48.00	2.50	2.50	2.50	0.93	1.49	0.00	0.00	0.07	1.33	1.29	0.00	0.04	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00
49.00	2.50	2.50	2.50	0.00	1.26	0.00	0.00	0.47	0.13	0.00	0.00	0.91	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
50.00	2.49	2.49	2.49	0.86	0.42	0.00	0.00	1.57	0.00	0.00	0.00	0.66	0.00	0.00	0.15	0.00	0.00	0.48	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.00
51.00	2.50	2.50	2.50	0.00	0.00	0.51	0.00	0.03	0.66	0.17	0.00	0.00	0.00	0.00	0.18	0.78	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
52.00	2.50	2.50	2.50	2.13	0.00	0.00	0.00	0.00	0.06	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
53.00	2.50	2.50	2.50	0.00	0.77	0.27	0.00	1.75	1.15	0.15	0.00	0.00	0.00	0.00	0.00	0.33	0.00	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
54.00	2.50	2.50	2.50	0.00	1.40	1.27	0.00	0.11	0.00	0.61	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
55.00	2.50	2.49	2.49	0.00	0.30	0.00	0.00	0.00	0.03	2.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
56.00	2.49	2.50	2.50	1.57	2.21	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
57.00	2.50	2.50	2.50	0.00	1.59	0.00	0.00	1.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
58.00	2.50	2.50	2.50	0.00	1.88	0.00	0.00	0.82	1.63	1.30	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
59.00	2.50	2.50	2.50	0.13	0.56	0.00	0.00	0.39	1.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
60.00	2.50	2.50	2.50	1.63	0.10	2.28	0.00	0.00	0.06	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
61.00	2.49	2.49	2.49	0.00	1.58	0.00	0.00	0.00	0.06	0.12	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
62.00	2.50	2.50	2.50	1.12	0.15	0.00	0.00	1.16	0.00	1.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92
63.00	2.50	2.50	2.50	0.00	0.00	0.54	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.00	1.02	0.00	0.00	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
64.00	2.50	2.50	2.50	0.00	2.61	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34
65.00	2.50	2.50	2.50	1.71	0.13	0.11	0.00	2.47	1.34	0.27	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
66.00	2.49	2.49	2.49	0.00	0.00	0.00	0.00	2.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.11
67.00	2.50	2.50	2.50	0.00	1.33	0.49	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
68.00	2.50	2.50	2.50	1.20	0.39	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.00
69.00	2.50	2.50	2.50	0.00	0.07	0.00	0.00	0.00	2.88	0.10	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
70.00	2.50	2.50	2.50	0.29	0.96	0.00	0.00	2.75	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43
71.00	2.50	2.50	2.50	2.11	0.00	0.00	0.00	0.19	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
72.00	2.49	2.49	2.49	1.10	0.03	0.00	0.00	0.00	0.58	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
73.00	2.50	2.50	2.50	0.41	1.41	0.00	0.00	0.25	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
74.00	2.50	2.50	2.50	1.33	0.03	0.66	0.00	0.60	1.97	0.00	0.00	0.38	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
75.00	2.50	2.50	2.50	0.00	1.04	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
76.00	2.50	2.50	2.50	1.04	0.00	0.11	0.00	3.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
77.00	2.49	2.49	2.49	0.00	0.56	0.00	0.00	0.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00
78.00	2.50	2.50	2.50	1.89	0.09	0.00	0.00	0.00	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60
79.00	2.50	2.50	2.50	0.00	0.89	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.46	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
80.00	2.50	2.50	2.50	0.25	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00	0.00	1.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
81.00	2.50	2.50	2.50	0.00	2.79	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
82.00	2.49	2.50	2.49	0.15	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	2.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23
83.00	2.50	2.49	2.50	0.00	1.31	0.62	0.00	0.00	0.21	0.81	0.00	0.00	0.00	0.00	0.00	1.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27
84.00	2.50	2.50	2.50	0.00	1.49	0.00	0.00	0.10	0.00	0.00	0.00	0.16	0.00	0.00	0.00	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
85.00	2.50	2.50	2.50	0.00	0.35	0.00	0.00	1.49	0.11	0.00	0.00	0.86	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
86.00	2.50	2.50	2.50	1.30	0.06	0.00	0.00	0.00	0.21	0.19	0.00	0.03	0.00	0.00	0.00	0.13	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
87.00	2.50	2.50	2.50	0.00	0.89	0.00	0.00	0.00	0.00	0.21	0.00	1.29	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
88.00	2.49	2.49	2.49	0.16	1.12	0.00	0.00	0.16	0.00	1.67	0.00	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
89.00	2.50	2.50	2.50	0.07	2.50	0.00	0.00	0.47	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
90.00	2.50	2.50	2.50	0.00	0.13	0.00	0.00	0.00	2.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
91.00	2.50	2.50	2.50	2.51	0.57	0.00	0.00	0.21	0.00	0.43	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
92.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	2.34	0.21	0.00	0.00	0.82	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
93.00	2.49	2.49	2.49	0.00	0.00	0.00	0.00	2.49	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
94.00	2.50	2.50	2.50	0.00	0.88	0.00	0.00	0.45	0.00	0.15	0.00	0.06	0.00	0.00	0.07	1.04	0.00	1.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34
95.00	2.50	2.50	2.50	0.00	1.61	0.00	0.00	0.00	0.07	0.04	0.00	1.96	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.12
96.00	2.50	2.50	2.50	0.70	0.40	0.00	0.00	2.39	0.17	0.00	0.00	0.61	1.01	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
97.00	2.50	2.50	2.50	0.00	0.22	0.00	0.00	0.49	0.13	0.00	0.00	0.70	1.55	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00
98.00	2.50	2.50	2.50	0.23	0.28	0.00	0.00	0.00	0.12	0.11	0.00	0.00	0.00	0.00	0.46	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.00
99.00	2.49	2.49	2.49	0.84	0.16	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.14	0.00	1.03	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16
100.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.04	0.17	0.00	0.00	0.03	0.93	0.00	0.00	0.81	0.00	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.88
101.00	2.50	2.50	2.50	0.00	0.30	0.00	0.00	0.00	1.27	1.34	0.00	0.00	0.12	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
102.00	2.50	2.50	2.50	0.87	0.35	0.00	0.00	0.43	0.80	0.34	0.00	0.00	0.78	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04
103.00	2.50	2.50	2.50	0.00	0.03	0.00	0.00	0.00	1.09	0.00	0.00	0.00	0.34	0.00	0.49	0.03	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
104.00	2.49	2.49	2.49	0.00	1.68	0.00	0.00	0.00	0.00	1.20	0.00	0.85	1.23	0.00	0.60	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
105.00	2.50	2.50	2.50	0.00	0.64	0.00	0.00	0.03	0.00	0.60	0.00	0.99	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
106.00	2.50	2.50	2.50	0.00	1.32	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
107.00	2.50	2.50	2.50	0.00	1.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
108.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.07	0.00	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
109.00	2.49	2.50	2.49	0.00	2.20	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
110.00	2.50	2.49	2.50	0.00	0.00	0.00	0.00	0.00	1.72	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
111.00	2.50	2.50	2.50	0.00	2.61	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.15	0.00	0.29	1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
112.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.28	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
113.00	2.50	2.50	2.50	0.00	2.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00
114.00	2.50	2.50	2.50	0.00	0.15	0.39	0.00	0.00	0.00	1.66	0.00	0.00	0.10	0.00	0.23	0.04	0.00	2.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
115.00	2.49	2.49	2.49	0.00	1.18	0.00	0.00	0.00	0.00	0.28	0.00	0.25	1.11	0.00	0.85	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00
116.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.32	1.16	0.00	0.00	0.02	0.00	0.14	0.00	0.00	1.91	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00
117.00	2.50	2.50	2.50	0.00	1.98	0.00	0.00	0.00	1.15	0.00	0.00	0.05	0.20	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.06
118.00	2.50	2.50	2.50	2.37	0.26	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.37	0.00	0.30	3.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
119.00	2.50	2.50	2.50	2.00	0.44	0.00	0.00	0.00	0.63	0.10	0.00	0.08	0.35	0.00	0.00	1.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.1.1.1	2.77	53.63
10.1.1.2	2.70	91.81
10.1.1.3	2.69	94.97
10.1.1.4	0.46	3555.66
10.1.1.5	0.68	1148.70
10.1.1.6	0.08	1841.63
10.1.1.7	0.00	239403.20
10.1.1.8	0.58	894.15
10.1.1.9	0.37	1558.26
10.1.1.10	0.38	1229.78
10.1.1.11	0.03	1295.35
10.1.1.12	0.31	3289.82
10.1.1.13	0.49	4736.57
10.1.1.14	0.03	12004.07
10.1.1.15	0.15	7903.05
