Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.622s)
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
12.00	2.49	2.49	2.49	0.92	0.00	0.09	0.00	0.00	0.00	0.56	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.93	0.27	0.00	0.00	0.56	0.14
13.00	2.50	2.50	2.50	1.55	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.98	0.00	0.00	0.00	0.31	0.00	0.48	0.00	0.00	0.45	0.15	0.00	0.00	1.22	0.23
14.00	2.50	2.50	2.50	1.55	0.00	0.16	0.00	0.00	0.00	0.19	0.00	0.09	0.00	0.00	0.00	0.75	0.00	0.06	0.00	0.00	0.00	0.20	0.00	0.00	0.16	0.17
15.00	2.50	2.50	2.50	0.03	0.00	0.00	0.00	0.00	0.00	0.14	0.00	1.29	0.00	0.00	0.00	0.04	0.00	1.17	0.00	0.00	0.00	0.69	0.00	0.00	0.35	0.00
16.00	2.50	2.50	2.50	0.14	0.00	0.07	0.00	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.00	0.51	0.00	0.00	0.88	0.00
17.00	2.50	2.50	2.50	0.00	0.00	0.67	0.00	0.00	0.00	0.05	0.00	0.20	0.00	0.00	0.00	1.06	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00
18.00	2.49	2.49	2.49	0.00	0.00	0.04	0.00	0.41	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.21
19.00	2.50	2.50	2.50	0.12	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.73
20.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.10	0.00	0.01	0.00	0.00	0.00	1.29	0.00	0.00	0.24	0.00
21.00	2.50	2.50	2.50	0.08	0.00	1.21	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.19
22.00	2.50	2.50	2.50	1.28	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.03	0.00	0.00	1.15	0.00
23.00	2.49	2.49	2.49	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.43	0.00	0.08	0.00	0.00	0.00	0.07	0.00	0.00	0.94	0.00
24.00	2.50	2.50	2.50	0.00	0.00	0.42	0.00	0.21	0.00	0.00	0.00	2.55	0.00	0.00	0.00	1.45	0.00	0.18	0.00	0.00	0.27	0.48	0.00	0.00	0.33	0.01
25.00	2.50	2.50	2.50	0.00	0.00	1.79	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.31
26.00	2.50	2.50	2.50	1.17	0.00	0.00	0.00	0.28	0.00	0.00	0.00	1.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	0.00
27.00	2.50	2.50	2.50	1.49	0.00	0.37	0.00	0.69	0.00	0.00	0.00	1.03	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.16
28.00	2.49	2.49	2.49	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.97	0.00
29.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.62	0.00	0.00	0.00	2.07	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00
33.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	2.49	2.49	2.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00
35.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.11
36.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.00
37.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
38.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	2.83	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
39.00	2.49	2.49	2.49	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.52	0.00	0.00	0.00	0.00	0.00	1.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
40.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.09	0.00	1.50	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.61
41.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
42.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
43.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.54	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.01
44.00	2.49	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00
45.00	2.50	2.49	2.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.93	0.00
46.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.06	0.00	0.00	0.91	1.24
47.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.60	0.00	0.10	0.00	0.00	0.00	0.09	0.00	0.04	0.55	0.06
48.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.32	0.00	0.00	0.23	0.32
49.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.50	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.58	0.00	0.00	0.00	0.00	0.00	0.00	0.18	1.16
50.00	2.49	2.49	2.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.26	0.00
51.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	1.09	0.00	0.00	0.00	0.03	0.00	0.00	0.66	0.04
52.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	2.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.27	0.03
53.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.50	0.00	0.00	0.00	0.18	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
54.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	0.00	0.11	0.00	0.00
55.00	2.49	2.49	2.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.98	0.83	0.00	0.18	0.80	0.06
56.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
57.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
58.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.04	0.00	0.12	0.30	0.03
59.00	2.50	2.50	2.50	0.00	0.00	0.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.00	0.00	0.00	1.22	1.43	0.00	0.00	0.18	0.02
60.00	2.50	2.50	2.50	0.04	0.00	0.00	0.00	0.00	0.00	0.11	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.26	0.20
61.00	2.49	2.49	2.49	0.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.25	0.00	0.00	0.00	0.84	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.06	0.64	0.00
62.00	2.50	2.50	2.50	0.83	0.00	1.23	0.00	0.00	0.00	0.00	0.00	1.84	0.00	0.00	0.00	1.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.00
63.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.58	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00
64.00	2.50	2.50	2.50	0.56	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.83	0.00	0.00	0.00	2.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
65.00	2.50	2.50	2.50	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	3.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.00
66.00	2.49	2.49	2.49	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.76	0.00	0.00	0.00	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
67.00	2.50	2.50	2.50	1.33	0.00	0.00	0.00	0.45	0.00	0.03	0.00	0.59	0.00	0.00	0.00	1.15	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	2.11	0.00
68.00	2.50	2.50	2.50	0.49	0.00	0.00	0.00	0.12	0.00	0.19	0.00	0.01	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.11	0.77	0.89
69.00	2.50	2.50	2.50	0.57	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.73	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.54
70.00	2.50	2.50	2.50	0.00	0.00	0.08	0.00	0.30	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.00	0.00
71.00	2.50	2.50	2.50	0.12	0.00	0.87	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.73	0.00	0.00
72.00	2.49	2.49	2.49	1.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.17
73.00	2.50	2.50	2.50	0.00	0.00	2.54	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00
74.00	2.50	2.50	2.50	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	1.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.10	0.00	0.00
75.00	2.50	2.50	2.50	1.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
76.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.45	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.26	0.81	0.00
77.00	2.49	2.49	2.49	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	2.79	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.04	0.58
78.00	2.50	2.50	2.50	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.29	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.14	0.04
79.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.10	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.00	0.00	0.13	0.00	0.00
80.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.00	0.81	0.00
81.00	2.50	2.50	2.50	2.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.07	0.00
82.00	2.49	2.49	2.50	0.00	0.00	2.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
83.00	2.50	2.50	2.49	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	1.11	0.00
84.00	2.50	2.50	2.50	1.57	0.00	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.88	0.00	0.25	0.00	0.00	1.37	0.00	0.00	0.00	0.68	0.00
85.00	2.50	2.50	2.50	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	2.08	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.10	0.23	0.00
86.00	2.50	2.50	2.50	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
87.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
88.00	2.49	2.49	2.49	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	1.65	0.00	0.00	0.00	1.30	0.00	0.94	0.00	0.00	0.00	0.00	0.00	0.18	0.80	0.00
89.00	2.50	2.50	2.50	0.00	0.00	0.44	0.00	0.00	0.00	0.06	0.00	0.24	0.00	0.00	0.00	0.97	0.00	0.00	0.00	0.00	1.59	0.00	0.00	0.40	0.21	0.00
90.00	2.50	2.50	2.50	0.78	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	2.02	0.00
91.00	2.50	2.50	2.50	0.00	0.00	0.57	0.00	0.00	0.00	0.00	0.00	0.96	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.00
92.00	2.50	2.50	2.50	1.13	0.00	1.89	0.00	0.00	0.00	0.25	0.00	0.25	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.00	0.04	0.16	0.00
93.00	2.49	2.49	2.49	0.22	0.00	0.11	0.00	0.00	0.00	0.33	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.12	0.27	0.00
94.00	2.50	2.50	2.50	0.00	0.00	0.95	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.17
95.00	2.50	2.50	2.50	0.00	0.00	1.21	0.00	0.00	0.00	0.00	0.00	0.86	0.00	0.00	0.00	0.84	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.43	0.25	0.00
96.00	2.50	2.50	2.50	0.50	0.00	0.41	0.00	0.11	0.00	0.00	0.00	2.12	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	1.03	0.00	0.00	0.00	0.87	0.00
97.00	2.50	2.50	2.50	1.69	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00
98.00	2.50	2.50	2.50	1.49	0.00	0.36	0.00	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.28	0.00	0.00	0.12	0.07
99.00	2.49	2.49	2.49	1.97	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.42	0.20
100.00	2.50	2.50	2.50	2.64	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
101.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.00
102.00	2.50	2.50	2.50	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	1.89	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.05	0.00
103.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.00	0.00
104.00	2.49	2.49	2.49	0.56	0.00	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00
105.00	2.50	2.50	2.50	0.61	0.00	0.30	0.00	0.07	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.55	0.00	0.12	0.00	0.00	0.00	0.67	0.00	0.00	0.84	0.00
106.00	2.50	2.50	2.50	1.15	0.00	0.00	0.00	0.04	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.03	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00
107.00	2.50	2.50	2.50	0.18	0.00	0.00	0.00	0.36	0.00	0.00	0.00	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.56	0.00	0.00	0.00	0.00
108.00	2.50	2.50	2.50	0.00	0.00	0.20	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.00	0.08	0.00	0.00	0.00	0.08	0.00	0.00	0.75	0.00
109.00	2.49	2.49	2.50	0.26	0.00	0.07	0.00	0.18	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.08	0.00	0.00	0.00	0.78	0.00	0.00	0.08	0.21
110.00	2.50	2.50	2.49	0.00	0.00	0.00	0.00	0.07	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.04	1.12	0.06
111.00	2.50	2.50	2.50	0.00	0.00	0.24	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.67	0.00
112.00	2.50	2.50	2.50	0.81	0.00	0.07	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.27
113.00	2.50	2.50	2.50	1.57	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	1.84	0.00
114.00	2.50	2.50	2.50	0.12	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.58	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00
115.00	2.49	2.49	2.49	0.00	0.00	0.00	0.00	0.58	0.00	0.03	0.00	0.75	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.31	0.12
116.00	2.50	2.50	2.50	0.00	0.00	0.01	0.00	0.00	0.00	0.18	0.00	0.04	0.00	0.00	0.00	0.18	0.00	0.89	0.04	0.00	0.00	1.67	0.00	0.15	0.34	0.03
117.00	2.50	2.50	2.50	0.55	0.00	0.93	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.09
118.00	2.50	2.50	2.50	0.06	0.00	0.00	0.00	0.17	0.00	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59
119.00	2.50	2.50	2.50	0.15	0.00	1.72	0.00	0.11	0.00	0.61	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	1.14	0.03
10.1.1.1	2.70	54.43
10.1.1.2	2.71	92.66
10.1.1.3	2.71	94.77
10.1.1.4	0.43	855.55
10.1.1.5	0	397236.00
10.1.1.6	0.28	1558.57
10.1.1.7	0.00	109629.50
10.1.1.8	0.12	2341.09
10.1.1.9	0.03	242490.33
10.1.1.10	0.08	4159.38
10.1.1.11	0.01	8638.25
10.1.1.12	0.65	3392.31
10.1.1.13	0	0
10.1.1.14	0.00	81351.00
10.1.1.15	0.00	6457.00
10.1.1.16	0.41	7758.09
